,title,url,compnay_logo,company,id,company_url,how_to_apply,location,type,created_at,lat ,long
,QA Engineer,https://jobs.github.com/positions/242f3dd4-7620-46dc-89fa-0ece2154fb53,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUtEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--506b576a92f36b6426838e3049e3f82d30db7a5f/CCY.png,Currencycloud,242f3dd4-7620-46dc-89fa-0ece2154fb53,https://www.currencycloud.com,"<p>email <a href=""mailto:adam.bolton@currencycloud.com"">adam.bolton@currencycloud.com</a></p>
",Cardiff,Full Time,Wed May 20 08:30:15 UTC 2020,51.4833,-3.1833
,Linux Developer,https://jobs.github.com/positions/b6a9b5f1-1b8a-490d-9bbb-5be1222db5a2,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0tEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--91094f27e39a0feb39268d7275db6d4282bbaea6/PH.jpg,Privacy Hero,b6a9b5f1-1b8a-490d-9bbb-5be1222db5a2,https://www.privacyhero.com/,"<p><a href=""https://streamlocator.applytojob.com/apply/oNdQAobeLh/Linux-Developer"">https://streamlocator.applytojob.com/apply/oNdQAobeLh/Linux-Developer</a></p>
",Canada,Full Time,Thu May 21 14:28:28 UTC 2020,56.1304,106.3468
,Entry-Level Software Developer,https://jobs.github.com/positions/73535df3-4a05-4c0b-b16e-3deca4dedfd6,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBckNEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c8077a6e38d85144922d7a7b9d54316c69d56c45/merit-america-4color.png,Merit America,73535df3-4a05-4c0b-b16e-3deca4dedfd6,https://www.meritamerica.org/,"<p><a href=""https://www.meritamerica.org/career-seekers/java-development"">https://www.meritamerica.org/career-seekers/java-development</a></p>
",Dallas�Fort Worth metroplex,Full Time,Wed May 20 20:50:21 UTC 2020,32.7767,96.797
,Web Software Developer supporting Data Science (f/m/d),https://jobs.github.com/positions/d5d67971-b693-45d6-81da-be1d446ee4c1,,European XFEL GmbH,d5d67971-b693-45d6-81da-be1d446ee4c1,https://www.xfel.eu/index_ger.html,"<p><a href=""https://122.rexx-server.com/rexx-hr/xfel/jobportal/Application/E-247-web-software-developer-supporting-data-scien/Init/1-639.html"">https://122.rexx-server.com/rexx-hr/xfel/jobportal/Application/E-247-web-software-developer-supporting-data-scien/Init/1-639.html</a></p>
",Schenefeld,Full Time,Wed May 20 13:34:49 UTC 2020,53.6028,9.8233
,Full-Stack-Developer (m/w/d),https://jobs.github.com/positions/a41422da-3032-41a6-985a-2a71581101fc,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVNEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--19e1cb68ad8bce5dc830f5e66f4cff046278878d/header.jpg,rooom AG,a41422da-3032-41a6-985a-2a71581101fc,https://www.rooom.com/,"<p><a href=""https://tracking.gohiring.com/h/bdceb86bd1f0a856b45af576de37f19f356e52568e9005f5afc590fb05957cb4"">application form</a></p>
",Thüringen,Full Time,Wed May 20 11:37:14 UTC 2020,,
,Senior Engineer ,https://jobs.github.com/positions/a08dd286-c89e-4b6e-888f-a8959e2f662e,,ZURB,a08dd286-c89e-4b6e-888f-a8959e2f662e,http://zurb.com,"<p>Are you ready to make the web a better place? If the answer is YES, we'd love to learn more about you. Please send us an email to <a href=""mailto:jobs@zurb.com"">jobs@zurb.com</a> with the following:</p>
<ul>
<li>A catchy subject line</li>
<li>Your top 3 skills</li>
<li>Your best teamwork tactic</li>
<li>Why you want to work at ZURB</li>
</ul>
",Campbell,Full Time,Tue May 19 21:41:32 UTC 2020,37.2839,-121.955
,Senior Penetration Tester,https://jobs.github.com/positions/a79831dd-8a25-4e8d-809a-d012895092aa,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcCtEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3959d6617ccfe3535f846900129c696769c9c8ce/schellman-logomark-fullcolor.png,"Schellman & Company, LLC.",a79831dd-8a25-4e8d-809a-d012895092aa,https://www.schellman.com/,"<p>Feel free to apply through our careers link: <a href=""https://www.schellman.com/careers?gh_jid=4639555002"">https://www.schellman.com/careers?gh_jid=4639555002</a></p>
<p>Or by sending your resume to <a href=""mailto:brandon.walker@schellman.com"">brandon.walker@schellman.com</a></p>
",United States,Full Time,Tue May 19 15:49:59 UTC 2020,#FIELD!,#FIELD!
,Full-stack developer,https://jobs.github.com/positions/6c2b9ea2-dd88-4eca-bdc8-6d4005ccd9c4,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcDJEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--78c9f6ab7639e1654a19e1467fd539d00d035263/251326_medium.jpg,Mezmeriz Inc.,6c2b9ea2-dd88-4eca-bdc8-6d4005ccd9c4,http://www.mezmeriz.com,"<p>Email your resume to <a href=""mailto:rpettit@mezmeriz.com"">rpettit@mezmeriz.com</a></p>
",Ithaca,Full Time,Tue May 19 14:21:49 UTC 2020,42.4433,-76.5
,Senior C# Developer,https://jobs.github.com/positions/161bece6-1482-4718-9901-211d2f620758,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcHVEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--96aade2ac4d92f99fd0905d5fefd59f86f734b7f/logo.png,Prodigi Group,161bece6-1482-4718-9901-211d2f620758,https://prodigigroup.recruitee.com?campaign=8208,"<p><a href=""https://ltpx.nl/3vsJGdJ"">Click here to apply</a></p>
",Cardiff,Full Time,Tue May 19 13:38:30 UTC 2020,51.4833,-3.1833
,Software Developer (.Net),https://jobs.github.com/positions/c39ac52c-0839-494f-b864-66ea85ad0c6a,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcFdEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4230a28f6cb47840872b36ea70760731141fbe05/Site-Tumbnail-Large-enteractive.png,Enteractive Malta Limited,c39ac52c-0839-494f-b864-66ea85ad0c6a,http:,"<p>Send your most recently updated CV to <a href=""mailto:michelle.bostrom@enteractive.se"">michelle.bostrom@enteractive.se</a> or apply directly on our career-site: <a href=""https://enteractive.com/job/software-developer-vacancy/"">https://enteractive.com/job/software-developer-vacancy/</a></p>
",Malta-Gzira,Full Time,Tue May 19 13:19:46 UTC 2020,35.9059,14.4953
